group;species
beech;7
oak;80
oak;87
oak;110
ash/maple;14
ash/maple;15
ash/maple;16
ash/maple;44
ash/maple;61
ash/maple;68
pioneers;57
pioneers;86
pioneers;52
pioneers;1
pioneers;8
pioneers;22
pioneers;25
pioneers;34
pioneers;36
pioneers;38
pioneers;56
pioneers;77
pioneers;78
pioneers;79
pioneers;92
pioneers;39
