species;name_nl;tariff_id;tariff_group;source;a;b;c;d
1;Amandelwilg;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
2;Amerikaans krentenboompje;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
3;Amerikaanse eik;2;Amerikaanse eik;Dagnelie;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08
4;Amerikaanse vogelkers;9;Boskers;Dagnelie;0,0489590;-0,00259900;8,2420e-05;6,1636e-08
5;Appel (wild + gekweekt);7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
6;Berk;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
7;Beuk;3;Beuk;Dagnelie;0,0173400;-0,00300800;1,1589e-04;1,3782e-09
8;Bittere wilg;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
9;Boskers;9;Boskers;Dagnelie;0,0489590;-0,00259900;8,2420e-05;6,1636e-08
10;Cornus sericea L.;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
11;Corsicaanse den;14;Corsicaanse den;Berben;0,0185220;-0,00261800;1,0652e-04;0,0000e+00
12;Douglas;12;Douglas;Dagnelie;0,0838620;-0,00642170;1,5693e-04;-7,7168e-08
13;Eenstijlige meidoorn;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
14;Es (gewone);7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
15;Es/Esdoorn;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
16;Esdoorn (gewone);6;Esdoorn;Dagnelie;-0,0195080;0,00015072;5,7816e-05;8,0950e-08
17;Europese lork;13;Lork;Dagnelie;0,0197840;-0,00315140;1,2589e-04;5,0599e-08
18;Fijnspar;11;Fijnspar;Dagnelie;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08
19;Fladderiep;8;Olm;Dagnelie;-0,0060582;-0,00126000;8,6604e-05;1,5419e-08
20;Gelderse roos;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
21;Gele kornoelje;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
22;Geoorde wilg;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
23;Gladde iep;8;Olm;Dagnelie;-0,0060582;-0,00126000;8,6604e-05;1,5419e-08
24;Grauwe abeel;5;Populier;Voorlopig;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
25;Grauwe wilg;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
26;Grove den;10;Gewone den;Dagnelie;-0,0052614;-0,00139300;8,8771e-05;1,4349e-08
27;Haagbeuk;1;Inlandse eik;Dagnelie;0,0195460;-0,00295880;1,1070e-04;-3,7076e-08
28;Hazelaar;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
29;Hemelboom;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
30;Hopboom;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
31;Hulst;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
32;Japanse lork;13;Lork;Dagnelie;0,0197840;-0,00315140;1,2589e-04;5,0599e-08
33;Jeneverbes;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
34;Katwilg;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
35;Koraalmeidoorn;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
36;Kraakwilg;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
37;Kruidvlier;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
38;Kruipwilg;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
39;Lijsterbes;2;Amerikaanse eik;Dagnelie;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08
40;Lork species;13;Lork;Dagnelie;0,0197840;-0,00315140;1,2589e-04;5,0599e-08
