species;name_nl;tariff_id;tariff_group;source;a;b;c;d
41;Meidoorn species;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
42;Mispel;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
43;Moeraseik;1;Inlandse eik;Dagnelie;0,0195460;-0,00295880;1,1070e-04;-3,7076e-08
44;Noorse esdoorn;6;Esdoorn;Dagnelie;-0,0195080;0,00015072;5,7816e-05;8,0950e-08
45;Okkernoot;2;Amerikaanse eik;Dagnelie;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08
46;Onbekend loofhout;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
47;Onbekend naaldhout;11;Fijnspar;Dagnelie;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08
48;Onbekende boomsoort;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
49;Oosterse karmozijnbes;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
50;Paardekastanje;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
51;Populier species;5;Populier;Voorlopig;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
52;Ratelpopulier;5;Populier;Voorlopig;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
53;Robinia (gewone);4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
54;Rode kornoelje;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
55;Rood peperboompje;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
56;Rossige wilg;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
57;Ruwe berk;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
58;Ruwe iep;8;Olm;Dagnelie;-0,0060582;-0,00126000;8,6604e-05;1,5419e-08
59;Sleedoorn;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
60;Sneeuwbes;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
61;Spaanse aak;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
62;Spaanse ruiter;NA;NA;NA;NA;NA;NA;NA
63;Sporkehout;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
64;Tamme kastanje;3;Beuk;Dagnelie;0,0173400;-0,00300800;1,1589e-04;1,3782e-09
65;Taxus;11;Fijnspar;Dagnelie;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08
66;Trosvlier;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
67;Tweestijlige meidoorn;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
68;Vederesdoorn;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
69;Vlier;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
70;Vlinderstruik;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
71;Vogelkers;9;Boskers;Dagnelie;0,0489590;-0,00259900;8,2420e-05;6,1636e-08
72;Vuurdoorn;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
73;Wegedoorn;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
74;Wilde kardinaalsmuts;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
75;Wilde liguster;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
76;Wilde peer;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
77;Wilg breedbladige species;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
78;Wilg smalbladige species;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
79;Wilg species;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
80;Wintereik;1;Inlandse eik;Dagnelie;0,0195460;-0,00295880;1,1070e-04;-3,7076e-08
81;Winterlinde;2;Amerikaanse eik;Dagnelie;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08
82;Witte abeel;5;Populier;Voorlopig;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
83;Witte els (grauwe);4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
84;Witte en grauwe abeel;5;Populier;Voorlopig;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
85;Wollige sneeuwbal;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
86;Zachte berk;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
87;Zomereik;1;Inlandse eik;Dagnelie;0,0195460;-0,00295880;1,1070e-04;-3,7076e-08
88;Zomerlinde;2;Amerikaanse eik;Dagnelie;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08
89;Zwarte els;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
90;Zwarte populier;5;Populier;Voorlopig;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
91;Zwarte walnoot;2;Amerikaanse eik;Dagnelie;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08
92;Schietwilg;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
93;Tulpenboom;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
100;Laurierkers;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
101;Zeeden;10;Gewone den;Dagnelie;-0,0052614;-0,00139300;8,8771e-05;1,4349e-08
102;Weymouthden;10;Gewone den;Dagnelie;-0,0052614;-0,00139300;8,8771e-05;1,4349e-08
103;Sitkaspar;11;Fijnspar;Dagnelie;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08
104;Hemlockspar (Thuja);11;Fijnspar;Dagnelie;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08
105;Cipres species;11;Fijnspar;Dagnelie;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08
106;Plataan species;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
107;Kers species;9;Boskers;Dagnelie;0,0489590;-0,00259900;8,2420e-05;6,1636e-08
108;Reuzenzilverspar;12;Douglas;Dagnelie;0,0838620;-0,00642170;1,5693e-04;-7,7168e-08
109;Linde species;2;Amerikaanse eik;Dagnelie;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08
110;Inlandse eik;1;Inlandse eik;Dagnelie;0,0195460;-0,00295880;1,1070e-04;-3,7076e-08
111;Liguster species;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
112;Hartbladige els - Italiaanse els;4;Berk;Dagnelie;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07
113;Witte esdoorn;7;Es;Dagnelie;-0,0403640;0,00017945;7,6857e-05;7,3601e-08
1000;braak (unstocked);NA;NA;NA;NA;NA;NA;NA
2000;dood (dead forest);NA;NA;NA;NA;NA;NA;NA
