var_name;var_min;var_max;preferred_transformation
number_of_regeneration;min_number_of_regeneration;max_number_of_regeneration;log
moss_cover;moss_cover_min;moss_cover_max;log
herb_cover;herb_cover_min;herb_cover_max;NA
shrub_cover;shrub_cover_min;shrub_cover_max;log
tree_cover;tree_cover_min;tree_cover_max;NA
waterlayer_cover;waterlayer_cover_min;waterlayer_cover_max;log
soildisturbance_game_cover;soildisturbance_game_cover_min;soildisturbance_game_cover_max;log
