species;name_nl;tariff_id;tariff_group;source;a;b;c;d;e;f;g;formula
11;Corsicaanse den;14;Corsicaanse den;Berben;-0,002846;0,00000000;-2,2785e-07;0,000000e+00;-0,000247680;0,00e+00;3,9082e-06;1
3;Amerikaanse eik;2;Amerikaanse eik;Dagnelie;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
39;Lijsterbes;2;Amerikaanse eik;Dagnelie;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
45;Okkernoot;2;Amerikaanse eik;Dagnelie;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
81;Winterlinde;2;Amerikaanse eik;Dagnelie;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
88;Zomerlinde;2;Amerikaanse eik;Dagnelie;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
91;Zwarte walnoot;2;Amerikaanse eik;Dagnelie;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
109;Linde species;2;Amerikaanse eik;Dagnelie;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
1;Amandelwilg;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
6;Berk;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
8;Bittere wilg;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
22;Geoorde wilg;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
25;Grauwe wilg;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
34;Katwilg;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
36;Kraakwilg;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
38;Kruipwilg;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
53;Robinia (gewone);4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
56;Rossige wilg;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
57;Ruwe berk;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
77;Wilg breedbladige species;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
78;Wilg smalbladige species;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
79;Wilg species;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
83;Witte els (grauwe);4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
86;Zachte berk;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
89;Zwarte els;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
92;Schietwilg;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
112;Hartbladige els - Italiaanse els;4;Berk;Dagnelie;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
16;Esdoorn (gewone);6;Esdoorn;Dagnelie;0,010343;-0,00143410;3,4521e-05;-1,305300e-07;0,000771150;0,00e+00;3,0231e-06;1
44;Noorse esdoorn;6;Esdoorn;Dagnelie;0,010343;-0,00143410;3,4521e-05;-1,305300e-07;0,000771150;0,00e+00;3,0231e-06;1
2;Amerikaans krentenboompje;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
5;Appel (wild + gekweekt);7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
10;Cornus sericea L.;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
13;Eenstijlige meidoorn;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
14;Es (gewone);7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
15;Es/Esdoorn;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
20;Gelderse roos;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
21;Gele kornoelje;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
28;Hazelaar;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
29;Hemelboom;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
30;Hopboom;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
31;Hulst;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
33;Jeneverbes;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
35;Koraalmeidoorn;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
37;Kruidvlier;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
41;Meidoorn species;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
42;Mispel;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
46;Onbekend loofhout;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
48;Onbekende boomsoort;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
49;Oosterse karmozijnbes;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
50;Paardekastanje;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
54;Rode kornoelje;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
55;Rood peperboompje;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
59;Sleedoorn;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
60;Sneeuwbes;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
61;Spaanse aak;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
63;Sporkehout;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
66;Trosvlier;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
67;Tweestijlige meidoorn;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
68;Vederesdoorn;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
69;Vlier;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
70;Vlinderstruik;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
72;Vuurdoorn;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
73;Wegedoorn;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
74;Wilde kardinaalsmuts;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
75;Wilde liguster;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
76;Wilde peer;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
85;Wollige sneeuwbal;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
93;Tulpenboom;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
100;Laurierkers;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
106;Plataan species;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
111;Liguster species;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
113;Witte esdoorn;7;Es;Dagnelie;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
19;Fladderiep;8;Olm;Dagnelie;-0,034716;0,00135860;-1,3402e-05;-5,698000e-08;0,000165160;0,00e+00;3,8818e-06;1
23;Gladde iep;8;Olm;Dagnelie;-0,034716;0,00135860;-1,3402e-05;-5,698000e-08;0,000165160;0,00e+00;3,8818e-06;1
58;Ruwe iep;8;Olm;Dagnelie;-0,034716;0,00135860;-1,3402e-05;-5,698000e-08;0,000165160;0,00e+00;3,8818e-06;1
4;Amerikaanse vogelkers;9;Boskers;Dagnelie;-0,002311;-0,00037474;1,5103e-05;-2,517500e-08;0,000332820;0,00e+00;3,1943e-06;1
9;Boskers;9;Boskers;Dagnelie;-0,002311;-0,00037474;1,5103e-05;-2,517500e-08;0,000332820;0,00e+00;3,1943e-06;1
71;Vogelkers;9;Boskers;Dagnelie;-0,002311;-0,00037474;1,5103e-05;-2,517500e-08;0,000332820;0,00e+00;3,1943e-06;1
107;Kers species;9;Boskers;Dagnelie;-0,002311;-0,00037474;1,5103e-05;-2,517500e-08;0,000332820;0,00e+00;3,1943e-06;1
26;Grove den;10;Gewone den;Dagnelie;-0,039836;0,00155050;-6,1835e-06;4,802200e-08;0,000073997;0,00e+00;2,9607e-06;1
101;Zeeden;10;Gewone den;Dagnelie;-0,039836;0,00155050;-6,1835e-06;4,802200e-08;0,000073997;0,00e+00;2,9607e-06;1
102;Weymouthden;10;Gewone den;Dagnelie;-0,039836;0,00155050;-6,1835e-06;4,802200e-08;0,000073997;0,00e+00;2,9607e-06;1
18;Fijnspar;11;Fijnspar;Dagnelie;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
47;Onbekend naaldhout;11;Fijnspar;Dagnelie;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
65;Taxus;11;Fijnspar;Dagnelie;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
103;Sitkaspar;11;Fijnspar;Dagnelie;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
