species;name_nl;tariff_id;tariff_group;source;a;b;c;d;e;f;g;formula
104;Hemlockspar (Thuja);11;Fijnspar;Dagnelie;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
105;Cipres species;11;Fijnspar;Dagnelie;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
12;Douglas;12;Douglas;Dagnelie;-0,019911;0,00059559;1,2901e-05;-1,858700e-07;0,000715910;0,00e+00;3,9892e-06;1
108;Reuzenzilverspar;12;Douglas;Dagnelie;-0,019911;0,00059559;1,2901e-05;-1,858700e-07;0,000715910;0,00e+00;3,9892e-06;1
17;Europese lork;13;Lork;Dagnelie;-0,030880;0,00148850;-4,9257e-06;-1,231300e-07;-0,001163800;0,00e+00;4,1134e-06;1
32;Japanse lork;13;Lork;Dagnelie;-0,030880;0,00148850;-4,9257e-06;-1,231300e-07;-0,001163800;0,00e+00;4,1134e-06;1
40;Lork species;13;Lork;Dagnelie;-0,030880;0,00148850;-4,9257e-06;-1,231300e-07;-0,001163800;0,00e+00;4,1134e-06;1
27;Haagbeuk;1;Inlandse eik;Quataert;0,164500;-0,00561200;2,9100e-05;0,000000e+00;-0,007250000;2,50e-04;2,3000e-06;1
43;Moeraseik;1;Inlandse eik;Quataert;0,164500;-0,00561200;2,9100e-05;0,000000e+00;-0,007250000;2,50e-04;2,3000e-06;1
80;Wintereik;1;Inlandse eik;Quataert;0,164500;-0,00561200;2,9100e-05;0,000000e+00;-0,007250000;2,50e-04;2,3000e-06;1
87;Zomereik;1;Inlandse eik;Quataert;0,164500;-0,00561200;2,9100e-05;0,000000e+00;-0,007250000;2,50e-04;2,3000e-06;1
110;Inlandse eik;1;Inlandse eik;Quataert;0,164500;-0,00561200;2,9100e-05;0,000000e+00;-0,007250000;2,50e-04;2,3000e-06;1
7;Beuk;3;Beuk;Quataert;-0,011150;0,00000000;-8,5600e-06;-4,996000e-08;0,000000000;2,56e-05;3,6330e-06;1
64;Tamme kastanje;3;Beuk;Quataert;-0,011150;0,00000000;-8,5600e-06;-4,996000e-08;0,000000000;2,56e-05;3,6330e-06;1
24;Grauwe abeel;5;Populier;Dik;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
51;Populier species;5;Populier;Dik;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
52;Ratelpopulier;5;Populier;Dik;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
82;Witte abeel;5;Populier;Dik;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
84;Witte en grauwe abeel;5;Populier;Dik;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
90;Zwarte populier;5;Populier;Dik;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
