species;name_nl;tarief_id;groepnaam;a;b;c;d;tarief
50;Paardekastanje;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
51;Populier species;5;Populier;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Voorlopig
52;Ratelpopulier;5;Populier;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Voorlopig
53;Robinia (gewone);4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
54;Rode kornoelje;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
55;Rood peperboompje;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
56;Rossige wilg;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
57;Ruwe berk;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
58;Ruwe iep;8;Olm;-0,0060582;-0,00126000;8,6604e-05;1,5419e-08;Dagnelie
59;Sleedoorn;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
60;Sneeuwbes;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
61;Spaanse aak;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
62;Spaanse ruiter;NA;NA;NA;NA;NA;NA;NA
63;Sporkehout;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
64;Tamme kastanje;3;Beuk;0,0173400;-0,00300800;1,1589e-04;1,3782e-09;Dagnelie
65;Taxus;11;Fijnspar;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08;Dagnelie
66;Trosvlier;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
67;Tweestijlige meidoorn;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
68;Vederesdoorn;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
69;Vlier;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
70;Vlinderstruik;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
71;Vogelkers;9;Boskers;0,0489590;-0,00259900;8,2420e-05;6,1636e-08;Dagnelie
72;Vuurdoorn;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
73;Wegedoorn;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
74;Wilde kardinaalsmuts;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
75;Wilde liguster;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
76;Wilde peer;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
77;Wilg breedbladige species;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
78;Wilg smalbladige species;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
79;Wilg species;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
80;Wintereik;1;Inlandse eik;0,0195460;-0,00295880;1,1070e-04;-3,7076e-08;Dagnelie
81;Winterlinde;2;Amerikaanse eik;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08;Dagnelie
82;Witte abeel;5;Populier;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Voorlopig
83;Witte els (grauwe);4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
84;Witte en grauwe abeel;5;Populier;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Voorlopig
85;Wollige sneeuwbal;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
86;Zachte berk;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
87;Zomereik;1;Inlandse eik;0,0195460;-0,00295880;1,1070e-04;-3,7076e-08;Dagnelie
88;Zomerlinde;2;Amerikaanse eik;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08;Dagnelie
89;Zwarte els;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
90;Zwarte populier;5;Populier;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Voorlopig
91;Zwarte walnoot;2;Amerikaanse eik;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08;Dagnelie
92;Schietwilg;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
93;Tulpenboom;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
100;Laurierkers;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
101;Zeeden;10;Gewone den;-0,0052614;-0,00139300;8,8771e-05;1,4349e-08;Dagnelie
102;Weymouthden;10;Gewone den;-0,0052614;-0,00139300;8,8771e-05;1,4349e-08;Dagnelie
103;Sitkaspar;11;Fijnspar;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08;Dagnelie
104;Hemlockspar (Thuja);11;Fijnspar;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08;Dagnelie
105;Cipres species;11;Fijnspar;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08;Dagnelie
106;Plataan species;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
107;Kers species;9;Boskers;0,0489590;-0,00259900;8,2420e-05;6,1636e-08;Dagnelie
108;Reuzenzilverspar;12;Douglas;0,0838620;-0,00642170;1,5693e-04;-7,7168e-08;Dagnelie
109;Linde species;2;Amerikaanse eik;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08;Dagnelie
110;Inlandse eik;1;Inlandse eik;0,0195460;-0,00295880;1,1070e-04;-3,7076e-08;Dagnelie
111;Liguster species;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
112;Hartbladige els - Italiaanse els;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
113;Witte esdoorn;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
1000;braak (unstocked);NA;NA;NA;NA;NA;NA;NA
2000;dood (dead forest);NA;NA;NA;NA;NA;NA;NA
