species;name_nl;tarief_id;groepnaam;a;b;c;d;tarief
1;Amandelwilg;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
2;Amerikaans krentenboompje;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
3;Amerikaanse eik;2;Amerikaanse eik;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08;Dagnelie
4;Amerikaanse vogelkers;9;Boskers;0,0489590;-0,00259900;8,2420e-05;6,1636e-08;Dagnelie
5;Appel (wild + gekweekt);7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
6;Berk;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
7;Beuk;3;Beuk;0,0173400;-0,00300800;1,1589e-04;1,3782e-09;Dagnelie
8;Bittere wilg;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
9;Boskers;9;Boskers;0,0489590;-0,00259900;8,2420e-05;6,1636e-08;Dagnelie
10;Cornus sericea L.;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
11;Corsicaanse den;14;Corsicaanse den;0,0185220;-0,00261800;1,0652e-04;0,0000e+00;Berben
12;Douglas;12;Douglas;0,0838620;-0,00642170;1,5693e-04;-7,7168e-08;Dagnelie
13;Eenstijlige meidoorn;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
14;Es (gewone);7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
15;Es/Esdoorn;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
16;Esdoorn (gewone);6;Esdoorn;-0,0195080;0,00015072;5,7816e-05;8,0950e-08;Dagnelie
17;Europese lork;13;Lork;0,0197840;-0,00315140;1,2589e-04;5,0599e-08;Dagnelie
18;Fijnspar;11;Fijnspar;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08;Dagnelie
19;Fladderiep;8;Olm;-0,0060582;-0,00126000;8,6604e-05;1,5419e-08;Dagnelie
20;Gelderse roos;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
21;Gele kornoelje;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
22;Geoorde wilg;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
23;Gladde iep;8;Olm;-0,0060582;-0,00126000;8,6604e-05;1,5419e-08;Dagnelie
24;Grauwe abeel;5;Populier;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Voorlopig
25;Grauwe wilg;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
26;Grove den;10;Gewone den;-0,0052614;-0,00139300;8,8771e-05;1,4349e-08;Dagnelie
27;Haagbeuk;1;Inlandse eik;0,0195460;-0,00295880;1,1070e-04;-3,7076e-08;Dagnelie
28;Hazelaar;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
29;Hemelboom;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
30;Hopboom;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
31;Hulst;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
32;Japanse lork;13;Lork;0,0197840;-0,00315140;1,2589e-04;5,0599e-08;Dagnelie
33;Jeneverbes;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
34;Katwilg;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
35;Koraalmeidoorn;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
36;Kraakwilg;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
37;Kruidvlier;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
38;Kruipwilg;4;Berk;0,0071727;-0,00222220;1,0536e-04;-1,0867e-07;Dagnelie
39;Lijsterbes;2;Amerikaanse eik;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08;Dagnelie
40;Lork species;13;Lork;0,0197840;-0,00315140;1,2589e-04;5,0599e-08;Dagnelie
41;Meidoorn species;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
42;Mispel;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
43;Moeraseik;1;Inlandse eik;0,0195460;-0,00295880;1,1070e-04;-3,7076e-08;Dagnelie
44;Noorse esdoorn;6;Esdoorn;-0,0195080;0,00015072;5,7816e-05;8,0950e-08;Dagnelie
45;Okkernoot;2;Amerikaanse eik;0,0111890;-0,00232120;1,0179e-04;-5,0084e-08;Dagnelie
46;Onbekend loofhout;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
47;Onbekend naaldhout;11;Fijnspar;0,0322530;-0,00401320;1,3221e-04;-1,8894e-08;Dagnelie
48;Onbekende boomsoort;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
49;Oosterse karmozijnbes;7;Es;-0,0403640;0,00017945;7,6857e-05;7,3601e-08;Dagnelie
