species;a;b
1;-0,3786764710;1,02426471
2;-0,4703557310;1,01569735
3;-0,3086956520;1,01539130
4;0,1785714290;1,01285714
5;-0,4703557310;1,01569735
6;-0,3786764710;1,02426471
7;0,0214692715;1,01019536
8;-0,3786764710;1,02426471
9;0,1785714290;1,01285714
10;-0,4703557310;1,01569735
11;0,8075757580;1,00636364
12;-0,0744810745;1,01391941
13;-0,4703557310;1,01569735
14;-0,4703557310;1,01569735
15;-0,4703557310;1,01569735
16;-0,0355731225;1,01389046
17;-0,9054112550;1,02116883
18;-0,3865942030;1,01952174
19;0,2037037040;1,01111111
20;-0,4703557310;1,01569735
21;-0,4703557310;1,01569735
22;-0,3786764710;1,02426471
23;0,2037037040;1,01111111
24;-0,4703557310;1,01569735
25;-0,3786764710;1,02426471
26;0,8075757580;1,00636364
27;0,1959706960;1,00891331
28;-0,4703557310;1,01569735
29;-0,4703557310;1,01569735
30;-0,4703557310;1,01569735
31;-0,4703557310;1,01569735
32;-0,9054112550;1,02116883
33;-0,3865942030;1,01952174
34;-0,3786764710;1,02426471
35;-0,4703557310;1,01569735
36;-0,3786764710;1,02426471
37;-0,4703557310;1,01569735
38;-0,3786764710;1,02426471
39;-0,3086956520;1,01539130
40;-0,9054112550;1,02116883
41;-0,4703557310;1,01569735
42;-0,4703557310;1,01569735
43;0,1959706960;1,00891331
44;-0,0355731225;1,01389046
45;-0,3086956520;1,01539130
46;-0,4703557310;1,01569735
47;-0,3865942030;1,01952174
48;-0,4703557310;1,01569735
49;-0,4703557310;1,01569735
50;-0,4703557310;1,01569735
51;-0,4703557310;1,01569735
52;-0,4703557310;1,01569735
53;-0,3786764710;1,02426471
54;-0,4703557310;1,01569735
55;-0,4703557310;1,01569735
56;-0,3786764710;1,02426471
57;-0,3786764710;1,02426471
58;0,2037037040;1,01111111
59;-0,4703557310;1,01569735
60;-0,4703557310;1,01569735
61;-0,4703557310;1,01569735
63;-0,4703557310;1,01569735
64;0,0214692715;1,01019536
65;-0,3865942030;1,01952174
66;-0,4703557310;1,01569735
67;-0,4703557310;1,01569735
68;-0,4703557310;1,01569735
69;-0,4703557310;1,01569735
70;-0,4703557310;1,01569735
71;0,1785714290;1,01285714
72;-0,4703557310;1,01569735
73;-0,4703557310;1,01569735
74;-0,4703557310;1,01569735
75;-0,4703557310;1,01569735
76;-0,4703557310;1,01569735
77;-0,3786764710;1,02426471
78;-0,3786764710;1,02426471
79;-0,3786764710;1,02426471
80;0,1959706960;1,00891331
81;-0,3086956520;1,01539130
82;-0,4703557310;1,01569735
83;-0,3786764710;1,02426471
84;-0,4703557310;1,01569735
85;-0,4703557310;1,01569735
86;-0,3786764710;1,02426471
87;0,1959706960;1,00891331
88;-0,3086956520;1,01539130
89;-0,3786764710;1,02426471
90;-0,4703557310;1,01569735
91;-0,3086956520;1,01539130
92;-0,3786764710;1,02426471
93;-0,4703557310;1,01569735
100;-0,4703557310;1,01569735
101;0,8075757580;1,00636364
102;0,8075757580;1,00636364
103;-0,3865942030;1,01952174
104;-0,3865942030;1,01952174
105;-0,3865942030;1,01952174
106;-0,4703557310;1,01569735
107;-0,4703557310;1,01569735
108;-0,0744810745;1,01391941
109;-0,3086956520;1,01539130
110;0,1959706960;1,00891331
111;-0,4703557310;1,01569735
112;-0,4703557310;1,01569735
113;-0,4703557310;1,01569735
