species;name_nl;tarief;groepnaam;a;b;c;d;e;f;g;formule_type
48;Onbekende boomsoort;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
49;Oosterse karmozijnbes;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
50;Paardekastanje;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
54;Rode kornoelje;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
55;Rood peperboompje;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
59;Sleedoorn;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
60;Sneeuwbes;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
61;Spaanse aak;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
63;Sporkehout;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
66;Trosvlier;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
67;Tweestijlige meidoorn;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
68;Vederesdoorn;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
69;Vlier;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
70;Vlinderstruik;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
72;Vuurdoorn;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
73;Wegedoorn;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
74;Wilde kardinaalsmuts;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
75;Wilde liguster;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
76;Wilde peer;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
85;Wollige sneeuwbal;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
93;Tulpenboom;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
100;Laurierkers;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
106;Plataan species;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
111;Liguster species;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
113;Witte esdoorn;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
19;Fladderiep;Dagnelie;Olm;-0,034716;0,00135860;-1,3402e-05;-5,698000e-08;0,000165160;0,00e+00;3,8818e-06;1
23;Gladde iep;Dagnelie;Olm;-0,034716;0,00135860;-1,3402e-05;-5,698000e-08;0,000165160;0,00e+00;3,8818e-06;1
58;Ruwe iep;Dagnelie;Olm;-0,034716;0,00135860;-1,3402e-05;-5,698000e-08;0,000165160;0,00e+00;3,8818e-06;1
4;Amerikaanse vogelkers;Dagnelie;Boskers;-0,002311;-0,00037474;1,5103e-05;-2,517500e-08;0,000332820;0,00e+00;3,1943e-06;1
9;Boskers;Dagnelie;Boskers;-0,002311;-0,00037474;1,5103e-05;-2,517500e-08;0,000332820;0,00e+00;3,1943e-06;1
71;Vogelkers;Dagnelie;Boskers;-0,002311;-0,00037474;1,5103e-05;-2,517500e-08;0,000332820;0,00e+00;3,1943e-06;1
107;Kers species;Dagnelie;Boskers;-0,002311;-0,00037474;1,5103e-05;-2,517500e-08;0,000332820;0,00e+00;3,1943e-06;1
26;Grove den;Dagnelie;Gewone den;-0,039836;0,00155050;-6,1835e-06;4,802200e-08;0,000073997;0,00e+00;2,9607e-06;1
101;Zeeden;Dagnelie;Gewone den;-0,039836;0,00155050;-6,1835e-06;4,802200e-08;0,000073997;0,00e+00;2,9607e-06;1
102;Weymouthden;Dagnelie;Gewone den;-0,039836;0,00155050;-6,1835e-06;4,802200e-08;0,000073997;0,00e+00;2,9607e-06;1
18;Fijnspar;Dagnelie;Fijnspar;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
47;Onbekend naaldhout;Dagnelie;Fijnspar;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
65;Taxus;Dagnelie;Fijnspar;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
103;Sitkaspar;Dagnelie;Fijnspar;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
104;Hemlockspar (Thuja);Dagnelie;Fijnspar;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
105;Cipres species;Dagnelie;Fijnspar;-0,010929;0,00139450;-9,5965e-06;-2,516400e-07;-0,002792200;0,00e+00;4,8985e-06;1
12;Douglas;Dagnelie;Douglas;-0,019911;0,00059559;1,2901e-05;-1,858700e-07;0,000715910;0,00e+00;3,9892e-06;1
108;Reuzenzilverspar;Dagnelie;Douglas;-0,019911;0,00059559;1,2901e-05;-1,858700e-07;0,000715910;0,00e+00;3,9892e-06;1
17;Europese lork;Dagnelie;Lork;-0,030880;0,00148850;-4,9257e-06;-1,231300e-07;-0,001163800;0,00e+00;4,1134e-06;1
32;Japanse lork;Dagnelie;Lork;-0,030880;0,00148850;-4,9257e-06;-1,231300e-07;-0,001163800;0,00e+00;4,1134e-06;1
40;Lork species;Dagnelie;Lork;-0,030880;0,00148850;-4,9257e-06;-1,231300e-07;-0,001163800;0,00e+00;4,1134e-06;1
27;Haagbeuk;Quataert;Inlandse eik;0,164500;-0,00561200;2,9100e-05;0,000000e+00;-0,007250000;2,50e-04;2,3000e-06;1
43;Moeraseik;Quataert;Inlandse eik;0,164500;-0,00561200;2,9100e-05;0,000000e+00;-0,007250000;2,50e-04;2,3000e-06;1
80;Wintereik;Quataert;Inlandse eik;0,164500;-0,00561200;2,9100e-05;0,000000e+00;-0,007250000;2,50e-04;2,3000e-06;1
87;Zomereik;Quataert;Inlandse eik;0,164500;-0,00561200;2,9100e-05;0,000000e+00;-0,007250000;2,50e-04;2,3000e-06;1
110;Inlandse eik;Quataert;Inlandse eik;0,164500;-0,00561200;2,9100e-05;0,000000e+00;-0,007250000;2,50e-04;2,3000e-06;1
7;Beuk;Quataert;Beuk;-0,011150;0,00000000;-8,5600e-06;-4,996000e-08;0,000000000;2,56e-05;3,6330e-06;1
64;Tamme kastanje;Quataert;Beuk;-0,011150;0,00000000;-8,5600e-06;-4,996000e-08;0,000000000;2,56e-05;3,6330e-06;1
24;Grauwe abeel;Dik;Populier;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
51;Populier species;Dik;Populier;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
52;Ratelpopulier;Dik;Populier;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
82;Witte abeel;Dik;Populier;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
84;Witte en grauwe abeel;Dik;Populier;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
90;Zwarte populier;Dik;Populier;-4,608923;3,00598900;-1,3209e+00;1,605266e+00;5,410272000;0,00e+00;0,0000e+00;2
