species;name_nl;tarief;groepnaam;a;b;c;d;e;f;g;formule_type
11;Corsicaanse den;Berben;Corsicaanse den;-0,002846;0,00000000;-2,2785e-07;0,000000e+00;-0,000247680;0,00e+00;3,9082e-06;1
3;Amerikaanse eik;Dagnelie;Amerikaanse eik;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
39;Lijsterbes;Dagnelie;Amerikaanse eik;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
45;Okkernoot;Dagnelie;Amerikaanse eik;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
81;Winterlinde;Dagnelie;Amerikaanse eik;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
88;Zomerlinde;Dagnelie;Amerikaanse eik;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
91;Zwarte walnoot;Dagnelie;Amerikaanse eik;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
109;Linde species;Dagnelie;Amerikaanse eik;-0,021490;0,00095069;-4,3068e-06;-7,032900e-08;-0,000742990;0,00e+00;3,7969e-06;1
1;Amandelwilg;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
6;Berk;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
8;Bittere wilg;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
22;Geoorde wilg;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
25;Grauwe wilg;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
34;Katwilg;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
36;Kraakwilg;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
38;Kruipwilg;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
53;Robinia (gewone);Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
56;Rossige wilg;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
57;Ruwe berk;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
77;Wilg breedbladige species;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
78;Wilg smalbladige species;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
79;Wilg species;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
83;Witte els (grauwe);Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
86;Zachte berk;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
89;Zwarte els;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
92;Schietwilg;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
112;Hartbladige els - Italiaanse els;Dagnelie;Berk;-0,011392;-0,00010010;2,8290e-05;-1,869500e-07;-0,000595730;0,00e+00;3,0811e-06;1
16;Esdoorn (gewone);Dagnelie;Esdoorn;0,010343;-0,00143410;3,4521e-05;-1,305300e-07;0,000771150;0,00e+00;3,0231e-06;1
44;Noorse esdoorn;Dagnelie;Esdoorn;0,010343;-0,00143410;3,4521e-05;-1,305300e-07;0,000771150;0,00e+00;3,0231e-06;1
2;Amerikaans krentenboompje;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
5;Appel (wild + gekweekt);Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
10;Cornus sericea L.;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
13;Eenstijlige meidoorn;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
14;Es (gewone);Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
15;Es/Esdoorn;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
20;Gelderse roos;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
21;Gele kornoelje;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
28;Hazelaar;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
29;Hemelboom;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
30;Hopboom;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
31;Hulst;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
33;Jeneverbes;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
35;Koraalmeidoorn;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
37;Kruidvlier;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
41;Meidoorn species;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
42;Mispel;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
46;Onbekend loofhout;Dagnelie;Es;-0,039083;0,00199350;-1,6148e-05;-6,418800e-09;-0,000983410;0,00e+00;3,8373e-06;1
