species;name_nl;tarief_id;groepNaam;a;b;c;d;tarief
52;Ratelpopulier;5;Populier;-0,017506;0,00093138;-1,9660e-05;1,7556e-07;Dagnelie_cfrBoskers
53;Robinia (gewone);4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
54;Rode kornoelje;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
55;Rood peperboompje;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
56;Rossige wilg;4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
57;Ruwe berk;4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
58;Ruwe iep;8;Olm;0,129530;-0,00496790;5,0852e-05;-4,2375e-08;Dagnelie
59;Sleedoorn;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
60;Sneeuwbes;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
61;Spaanse aak;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
62;Spaanse ruiter;NA;NA;NA;NA;NA;NA;NA
63;Sporkehout;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
64;Tamme kastanje;3;Beuk;0,081516;-0,00173710;-2,3467e-06;2,1432e-07;Dagnelie
65;Taxus;11;Fijnspar;0,000000;0,00000000;0,0000e+00;0,0000e+00;Dagnelie
66;Trosvlier;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
67;Tweestijlige meidoorn;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
68;Vederesdoorn;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
69;Vlier;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
70;Vlinderstruik;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
71;Vogelkers;9;Boskers;-0,017506;0,00093138;-1,9660e-05;1,7556e-07;Dagnelie
72;Vuurdoorn;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
73;Wegedoorn;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
74;Wilde kardinaalsmuts;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
75;Wilde liguster;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
76;Wilde peer;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
77;Wilg breedbladige species;4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
78;Wilg smalbladige species;4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
79;Wilg species;4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
80;Wintereik;1;Inlandse eik;0,076071;-0,00224240;1,2236e-05;1,1797e-07;Dagnelie
81;Winterlinde;2;Amerikaanse eik;0,205490;-0,00575100;3,9377e-05;7,3612e-08;Dagnelie
82;Witte abeel;5;Populier;-0,017506;0,00093138;-1,9660e-05;1,7556e-07;Dagnelie_cfrBoskers
83;Witte els (grauwe);4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
84;Witte en grauwe abeel;5;Populier;-0,017506;0,00093138;-1,9660e-05;1,7556e-07;Dagnelie_cfrBoskers
85;Wollige sneeuwbal;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
86;Zachte berk;4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
87;Zomereik;1;Inlandse eik;0,076071;-0,00224240;1,2236e-05;1,1797e-07;Dagnelie
88;Zomerlinde;2;Amerikaanse eik;0,205490;-0,00575100;3,9377e-05;7,3612e-08;Dagnelie
89;Zwarte els;4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
90;Zwarte populier;5;Populier;-0,017506;0,00093138;-1,9660e-05;1,7556e-07;Dagnelie_cfrBoskers
91;Zwarte walnoot;2;Amerikaanse eik;0,205490;-0,00575100;3,9377e-05;7,3612e-08;Dagnelie
92;Schietwilg;4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
93;Tulpenboom;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
100;Laurierkers;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
101;Zeeden;10;Gewone den;-0,037102;0,00169630;-2,2619e-05;1,0359e-07;Dagnelie
102;Weymouthden;10;Gewone den;-0,037102;0,00169630;-2,2619e-05;1,0359e-07;Dagnelie
103;Sitkaspar;11;Fijnspar;0,000000;0,00000000;0,0000e+00;0,0000e+00;Dagnelie
104;Hemlockspar (Thuja);11;Fijnspar;0,000000;0,00000000;0,0000e+00;0,0000e+00;Dagnelie
105;Cipres species;11;Fijnspar;0,000000;0,00000000;0,0000e+00;0,0000e+00;Dagnelie
106;Plataan species;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
107;Kers species;9;Boskers;-0,017506;0,00093138;-1,9660e-05;1,7556e-07;Dagnelie
108;Reuzenzilverspar;12;Douglas;0,000000;0,00000000;0,0000e+00;0,0000e+00;Dagnelie
109;Linde species;2;Amerikaanse eik;0,205490;-0,00575100;3,9377e-05;7,3612e-08;Dagnelie
110;Inlandse eik;1;Inlandse eik;0,076071;-0,00224240;1,2236e-05;1,1797e-07;Dagnelie
111;Liguster species;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
112;Hartbladige els - Italiaanse els;4;Berk;-0,248920;0,00863170;-9,8007e-05;4,0431e-07;Dagnelie
113;Witte esdoorn;7;Es;-0,044839;0,00234340;-4,1648e-05;3,2579e-07;Dagnelie
1000;braak (unstocked);NA;NA;NA;NA;NA;NA;NA
2000;dood (dead forest);NA;NA;NA;NA;NA;NA;NA
