species;name_nl;tariff_id;tariff_group;source;a;b;c;d
50;Paardekastanje;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
51;Populier species;5;Populier;Dagnelie_cfrBoskers;-0,017506;0,00093138;-1,9660e-05;1,7556e-07
52;Ratelpopulier;5;Populier;Dagnelie_cfrBoskers;-0,017506;0,00093138;-1,9660e-05;1,7556e-07
53;Robinia (gewone);4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
54;Rode kornoelje;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
55;Rood peperboompje;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
56;Rossige wilg;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
57;Ruwe berk;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
58;Ruwe iep;8;Olm;Dagnelie;0,129530;-0,00496790;5,0852e-05;-4,2375e-08
59;Sleedoorn;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
60;Sneeuwbes;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
61;Spaanse aak;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
62;Spaanse ruiter;NA;NA;NA;NA;NA;NA;NA
63;Sporkehout;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
64;Tamme kastanje;3;Beuk;Dagnelie;0,081516;-0,00173710;-2,3467e-06;2,1432e-07
65;Taxus;11;Fijnspar;Dagnelie;0,000000;0,00000000;0,0000e+00;0,0000e+00
66;Trosvlier;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
67;Tweestijlige meidoorn;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
68;Vederesdoorn;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
69;Vlier;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
70;Vlinderstruik;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
71;Vogelkers;9;Boskers;Dagnelie;-0,017506;0,00093138;-1,9660e-05;1,7556e-07
72;Vuurdoorn;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
73;Wegedoorn;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
74;Wilde kardinaalsmuts;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
75;Wilde liguster;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
76;Wilde peer;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
77;Wilg breedbladige species;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
78;Wilg smalbladige species;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
79;Wilg species;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
80;Wintereik;1;Inlandse eik;Dagnelie;0,076071;-0,00224240;1,2236e-05;1,1797e-07
81;Winterlinde;2;Amerikaanse eik;Dagnelie;0,205490;-0,00575100;3,9377e-05;7,3612e-08
82;Witte abeel;5;Populier;Dagnelie_cfrBoskers;-0,017506;0,00093138;-1,9660e-05;1,7556e-07
83;Witte els (grauwe);4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
84;Witte en grauwe abeel;5;Populier;Dagnelie_cfrBoskers;-0,017506;0,00093138;-1,9660e-05;1,7556e-07
85;Wollige sneeuwbal;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
86;Zachte berk;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
87;Zomereik;1;Inlandse eik;Dagnelie;0,076071;-0,00224240;1,2236e-05;1,1797e-07
88;Zomerlinde;2;Amerikaanse eik;Dagnelie;0,205490;-0,00575100;3,9377e-05;7,3612e-08
89;Zwarte els;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
90;Zwarte populier;5;Populier;Dagnelie_cfrBoskers;-0,017506;0,00093138;-1,9660e-05;1,7556e-07
91;Zwarte walnoot;2;Amerikaanse eik;Dagnelie;0,205490;-0,00575100;3,9377e-05;7,3612e-08
92;Schietwilg;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
93;Tulpenboom;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
100;Laurierkers;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
101;Zeeden;10;Gewone den;Dagnelie;-0,037102;0,00169630;-2,2619e-05;1,0359e-07
102;Weymouthden;10;Gewone den;Dagnelie;-0,037102;0,00169630;-2,2619e-05;1,0359e-07
103;Sitkaspar;11;Fijnspar;Dagnelie;0,000000;0,00000000;0,0000e+00;0,0000e+00
104;Hemlockspar (Thuja);11;Fijnspar;Dagnelie;0,000000;0,00000000;0,0000e+00;0,0000e+00
105;Cipres species;11;Fijnspar;Dagnelie;0,000000;0,00000000;0,0000e+00;0,0000e+00
106;Plataan species;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
107;Kers species;9;Boskers;Dagnelie;-0,017506;0,00093138;-1,9660e-05;1,7556e-07
108;Reuzenzilverspar;12;Douglas;Dagnelie;0,000000;0,00000000;0,0000e+00;0,0000e+00
109;Linde species;2;Amerikaanse eik;Dagnelie;0,205490;-0,00575100;3,9377e-05;7,3612e-08
110;Inlandse eik;1;Inlandse eik;Dagnelie;0,076071;-0,00224240;1,2236e-05;1,1797e-07
111;Liguster species;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
112;Hartbladige els - Italiaanse els;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
113;Witte esdoorn;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
1000;braak (unstocked);NA;NA;NA;NA;NA;NA;NA
2000;dood (dead forest);NA;NA;NA;NA;NA;NA;NA
