species;name_nl;tariff_id;tariff_group;source;a;b;c;d
1;Amandelwilg;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
2;Amerikaans krentenboompje;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
3;Amerikaanse eik;2;Amerikaanse eik;Dagnelie;0,205490;-0,00575100;3,9377e-05;7,3612e-08
4;Amerikaanse vogelkers;9;Boskers;Dagnelie;-0,017506;0,00093138;-1,9660e-05;1,7556e-07
5;Appel (wild + gekweekt);7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
6;Berk;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
7;Beuk;3;Beuk;Dagnelie;0,081516;-0,00173710;-2,3467e-06;2,1432e-07
8;Bittere wilg;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
9;Boskers;9;Boskers;Dagnelie;-0,017506;0,00093138;-1,9660e-05;1,7556e-07
10;Cornus sericea L.;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
11;Corsicaanse den;14;Corsicaanse den;Dagnelie_cfrLork;0,216320;-0,00416720;2,0581e-05;0,0000e+00
12;Douglas;12;Douglas;Dagnelie;0,000000;0,00000000;0,0000e+00;0,0000e+00
13;Eenstijlige meidoorn;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
14;Es (gewone);7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
15;Es/Esdoorn;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
16;Esdoorn (gewone);6;Esdoorn;Dagnelie;-0,112090;0,00499810;-7,4575e-05;4,1686e-07
17;Europese lork;13;Lork;Dagnelie;0,216320;-0,00416720;2,0581e-05;0,0000e+00
18;Fijnspar;11;Fijnspar;Dagnelie;0,000000;0,00000000;0,0000e+00;0,0000e+00
19;Fladderiep;8;Olm;Dagnelie;0,129530;-0,00496790;5,0852e-05;-4,2375e-08
20;Gelderse roos;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
21;Gele kornoelje;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
22;Geoorde wilg;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
23;Gladde iep;8;Olm;Dagnelie;0,129530;-0,00496790;5,0852e-05;-4,2375e-08
24;Grauwe abeel;5;Populier;Dagnelie_cfrBoskers;-0,017506;0,00093138;-1,9660e-05;1,7556e-07
25;Grauwe wilg;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
26;Grove den;10;Gewone den;Dagnelie;-0,037102;0,00169630;-2,2619e-05;1,0359e-07
27;Haagbeuk;1;Inlandse eik;Dagnelie;0,076071;-0,00224240;1,2236e-05;1,1797e-07
28;Hazelaar;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
29;Hemelboom;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
30;Hopboom;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
31;Hulst;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
32;Japanse lork;13;Lork;Dagnelie;0,216320;-0,00416720;2,0581e-05;0,0000e+00
33;Jeneverbes;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
34;Katwilg;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
35;Koraalmeidoorn;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
36;Kraakwilg;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
37;Kruidvlier;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
38;Kruipwilg;4;Berk;Dagnelie;-0,248920;0,00863170;-9,8007e-05;4,0431e-07
39;Lijsterbes;2;Amerikaanse eik;Dagnelie;0,205490;-0,00575100;3,9377e-05;7,3612e-08
40;Lork species;13;Lork;Dagnelie;0,216320;-0,00416720;2,0581e-05;0,0000e+00
41;Meidoorn species;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
42;Mispel;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
43;Moeraseik;1;Inlandse eik;Dagnelie;0,076071;-0,00224240;1,2236e-05;1,1797e-07
44;Noorse esdoorn;6;Esdoorn;Dagnelie;-0,112090;0,00499810;-7,4575e-05;4,1686e-07
45;Okkernoot;2;Amerikaanse eik;Dagnelie;0,205490;-0,00575100;3,9377e-05;7,3612e-08
46;Onbekend loofhout;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
47;Onbekend naaldhout;11;Fijnspar;Dagnelie;0,000000;0,00000000;0,0000e+00;0,0000e+00
48;Onbekende boomsoort;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
49;Oosterse karmozijnbes;7;Es;Dagnelie;-0,044839;0,00234340;-4,1648e-05;3,2579e-07
